label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09
3	919 m^2	-0.3773	bird	Computational Media	-0.1059	volleyball	324 mph	1008	963 m/(s^2)	Tony
2	1144 m^2	1.4015	rat	Human Computer Interaction	0.5284	basketball	956 mph	25	104 m/(s^2)	Inan
1	1424 m^2	0.8036	rabbit	Computer Game Design	1.6638	baseball	1102 mph	407	732 m/(s^2)	Eriq
7	1254 m^2	0.7636	cat	Games and Playable Media	1.3439	soccer	851 mph	1564	-199 m/(s^2)	Fabrice
6	-84 m^2	0.4884	fish	Robotics Engineering	1.0833	RUNNING	159 mph	1241	-366 m/(s^2)	Vani
2	1728 m^2	-0.1095	rat	Human Computer Interaction, Electrical Engineering	0.9153	basketball	657 mph	-695	2057 m/(s^2)	Eriq
4	2190 m^2	-0.1264	dog	Natural Language Processing	3.0826	boxing	-271 mph	-1103	-1194 m/(s^2)	Fabrice
4	1058 m^2	-1.3458	guinea pig	Natural Language Processing	0.5528	badminton	265 mph	-1136	1333 m/(s^2)	Andrew
8	1321 m^2	-1.2054	pig	Statistics	1.5353	motor sports	1693 mph	1678	645 m/(s^2)	Chris
8	1636 m^2	1.3513	pig	Bioinformatics	-0.5285	motor sports	-5 mph	208	-533 m/(s^2)	Chris
1	302 m^2	-0.6659	rabbit	Computer Game Design	-0.2184	ICE HOCKEY	527 mph	136	None	Inan
5	1563 m^2	-0.3072	ferret	Biotechnology	1.1459	NULL	-200 mph	786	-486 m/(s^2)	Andrew
1	462 m^2	-0.3453	rabbit	Computer Game Design	1.1634	ice hockey	1263 mph	-773	1496 m/(s^2)	Inan
3	-471 m^2	0.2515	bird	Computational Media	1.2485	tennis	1096 mph	931	-478 m/(s^2)	Tony
5	1041 m^2	0.6926	reptile	Data Science	1.7463	volleyball	-1037 mph	-509	-1768 m/(s^2)	Andrew
0	1120 m^2	-0.6618	hamster	Applied Mathematics	0.8921	boxing	1482 mph	469	-311 m/(s^2)	Michael
2	-1013 m^2	1.4973	rat	Bioengineering	0.3208	basketball	616 mph	-10	2684 m/(s^2)	Eriq
9	38 m^2	-0.091	dog	Computer Science	0.094	golf	235 mph	-1467	961 m/(s^2)	Chris
7	212 m^2	-0.0284	cat	Games and Playable Media	0.9434	soccer	564 mph	-231	1874 m/(s^2)	Lise
2	1014 m^2	1.5827	rat	Electrical Engineering, Bioengineering	0.453	basketball	854 mph	-647	460 m/(s^2)	Eriq
5	207 m^2	-1.1482	reptile	Biotechnology	-1.4931	volleyball	977 mph	835	-1313 m/(s^2)	Reilly
5	1097 m^2	0.7268	ferret	Data Science	-0.7747	volleyball	-76 mph	122	44 m/(s^2)	Andrew
9	636 m^2	0.9472	chicken	Computer Engineering	-0.4311	golf	1124 mph	208	565 m/(s^2)	Michael
0	312 m^2	0.5681	hamster	Applied Mathematics	0.4646	soccer	338 mph	2005	963 m/(s^2)	Sam
1	199 m^2	0.629	rabbit	Robotics Engineering	1.2851	ice hockey	1794 mph	296	872 m/(s^2)	Inan
6	878 m^2	-0.2595	fish	Robotics Engineering	0.021	football	1319 mph	572	1328 m/(s^2)	Vani
5	125 m^2	1.1868	ferret	Data Science	0.1321	volleyball	533 mph	809	836 m/(s^2)	Andrew
7	244 m^2	0.4625	cat	Games and Playable Media	-0.6234	soccer	676 mph	41	-83 m/(s^2)	Lise
0	490 m^2	-1.3845	hamster	Applied Mathematics	1.9959	boxing	?	137	-784 m/(s^2)	Sam
5	1570 m^2	2.5888	hamster	Data Science	-0.6644	volleyball	-168 mph	1755	-753 m/(s^2)	Andrew
0	-8 m^2	1.2482	cat	Applied Mathematics	1.5399	boxing	1162 mph	643	69 m/(s^2)	Sam
3	-969 m^2	1.2344	bird	Computational Media	-0.6472	tennis	N/A	24	834 m/(s^2)	Reilly
4	488 m^2	0.5085	guinea pig	Natural Language Processing	-0.074	running	441 mph	416	733 m/(s^2)	Lise
0	-336 m^2	-0.0596	hamster	Applied Mathematics	-0.2824	boxing	153 mph	-186	-648 m/(s^2)	Sam
5	207 m^2	0.999	ferret	Biotechnology	1.8342	volleyball	?	-904	-347 m/(s^2)	Andrew
4	889 m^2	1.8171	rabbit	Natural Language Processing	0.1343	badminton	784 mph	748	-508 m/(s^2)	fABRICE
2	-39 m^2	0.656	rat	Human Computer Interaction, Electrical Engineering	1.8372	basketball	-256 mph	-1252	556 m/(s^2)	eRIQ
6	-231 m^2	-0.9443	fish	Robotics Engineering	1.2347	running	471 mph	239	533 m/(s^2)	Vani
9	1399 m^2	1.4991	chicken	Technology and Information Management, Computer Engineering	0.0162	golf	-680 mph	-362	-457 m/(s^2)	Michael
7	665 m^2	0.5202	cat	Games and Playable Media	0.2885	soccer	2131 mph	778	1563 m/(s^2)	lISE
0	462 m^2	0.5851	hamster	Applied Mathematics	1.0222	boxing	1270 mph	679	161 m/(s^2)	Sam
5	703 m^2	-0.4987	hamster	BIOTECHNOLOGY	-0.1378	volleyball	67 mph	-603	850 m/(s^2)	Andrew
3	857 m^2	1.5246	bird	Computational Media	0.8135	track & field	788 mph	751	1440 m/(s^2)	TONY
1	1283 m^2	-0.4916	rabbit	Computer Game Design	1.4761	ice hockey	1529 mph	551	-892 m/(s^2)	Inan
5	2631 m^2	0.587	ferret	Biotechnology	-0.7462	volleyball	513 mph	116	-585 m/(s^2)	Andrew
1	974 m^2	-0.2766	rabbit	Computer Game Design	1.5967	ice hockey	1239 mph	-523	375 m/(s^2)	Inan
4	1588 m^2	0.1847	guinea pig	Natural Language Processing	1.8428	badminton	1544 mph	-916	-764 m/(s^2)	Fabrice
1	1385 m^2	0.0209	rabbit	Computer Game Design	-0.2791	baseball	-248 mph	-265	2044 m/(s^2)	Inan
8	1826 m^2	0.9837	pig	Statistics	-0.0916	motor sports	645 mph	-1556	-639 m/(s^2)	Chris
7	-272 m^2	0.3754	rabbit	Games and Playable Media	0.543	soccer	-199 mph	528	377 m/(s^2)	Lise
8	957 m^2	0.524	pig	Statistics	-0.2916	motor sports	1390 mph	1055	-1 m/(s^2)	Chris
2	-649 m^2	0.8207	rat	Human Computer Interaction, Bioengineering	1.4155	badminton	-238 mph	-264	269 m/(s^2)	Eriq
5	784 m^2	0.4298	reptile	N/A	-0.4989	volleyball	-421 mph	1616	260 m/(s^2)	Andrew
6	361 m^2	-0.7888	dog	Robotics Engineering	0.4937	track & field	1250 mph	64	-628 m/(s^2)	VANI
0	-124 m^2	0.4871	hamster	Applied Mathematics	1.8776	boxing	1485 mph	-687	307 m/(s^2)	Sam
8	-85 m^2	0.2499	pig	Statistics	-0.8414	motor sports	1573 mph	-1469	197 m/(s^2)	Chris
4	2213 m^2	1.9826	GUINEA PIG	Natural Language Processing	1.2117	badminton	956 mph	1845	-7 m/(s^2)	Fabrice
8	1384 m^2	1.825	rat	Bioinformatics	0.333	motor sports	907 mph	-752	578 m/(s^2)	Chris
9	1422 m^2	1.3725	dog	Computer Engineering, Technology and Information Management	-0.1432	soccer	393 mph	659	-11 m/(s^2)	Lise
8	43 m^2	1.9995	pig	Statistics	0.4015	motor sports	588 mph	552	270 m/(s^2)	Chris
7	1333 m^2	0.2344	NULL	Games and Playable Media	0.3781	soccer	383 mph	790	2139 m/(s^2)	Lise
4	889 m^2	-0.3205	guinea pig	Natural Language Processing	1.7321	badminton	860 mph	-953	117 m/(s^2)	Tony
7	68 m^2	1.5303	cat	Games and Playable Media	0.0263	soccer	703 mph	1843	-278 m/(s^2)	Lise
7	1872 m^2	0.402	BIRD	Games and Playable Media	0.0403	motor sports	1216 mph	-56	-77 m/(s^2)	Lise
6	-348 m^2	2.2087	fish	Robotics Engineering	1.0288	football	787 mph	947	-968 m/(s^2)	Vani
2	576 m^2	0.594	rat	Electrical Engineering	?	basketball	431 mph	-72	705 m/(s^2)	Eriq
4	1049 m^2	0.5182	bird	Natural Language Processing	0.0642	badminton	397 mph	-797	-615 m/(s^2)	Fabrice
1	1610 m^2	0.345	rabbit	Computer Game Design	-0.3753	baseball	325 mph	718	-275 m/(s^2)	Inan
5	-16 m^2	0.1144	reptile	Biotechnology	1.8507	volleyball	823 mph	-1452	-1181 m/(s^2)	Andrew
5	1147 m^2	0.5452	reptile	Biotechnology	-0.0115	volleyball	1731 mph	-182	717 m/(s^2)	Andrew
7	1098 m^2	-0.1274	cat	Games and Playable Media	-0.719	soccer	2271 mph	2181	1418 m/(s^2)	Lise
4	1456 m^2	1.32	guinea pig	Natural Language Processing	1.6451	badminton	1003 mph	157	-774 m/(s^2)	Fabrice
1	733 m^2	1.3622	rabbit	Computer Game Design	-0.4604	volleyball	-168 mph	-353	396 m/(s^2)	Inan
0	-338 m^2	0.4095	hamster	Applied Mathematics	1.357	boxing	1891 mph	446	-1320 m/(s^2)	Sam
8	379 m^2	0.4661	pig	Statistics	-0.1227	motor sports	1184 mph	-110	1470 m/(s^2)	Chris
9	169 m^2	1.4347	dog	Computer Engineering	0.5809	golf	1272 mph	-318	-1056 m/(s^2)	Michael
6	-1026 m^2	0.4819	fish	Robotics Engineering	-0.8491	football	1005 mph	673	1687 m/(s^2)	Vani
7	567 m^2	0.7748	cat	Games and Playable Media	0.4946	soccer	1818 mph	1682	753 m/(s^2)	Lise
1	384 m^2	2.0079	rabbit	Computer Game Design	1.322	baseball	-77 mph	-84	-107 m/(s^2)	Inan
3	-1417 m^2	-0.7835	bird	Computational Media	-0.3574	track & field	-47 mph	309	685 m/(s^2)	REILLY
5	2130 m^2	0.9829	reptile	Data Science	1.2548	Volleyball	1887 mph	0	260 m/(s^2)	Andrew
3	23 m^2	1.8036	bird	Computational Media	-0.9529	track & field	91 mph	511	-41 m/(s^2)	Tony
0	-1199 m^2	0.4079	hamster	Applied Mathematics	0.3188	boxing	-16 mph	-307	67 m/(s^2)	Sam
7	749 m^2	0.6266	cat	Games and Playable Media	0.2007	soccer	218 mph	-1272	1480 m/(s^2)	Lise
5	780 m^2	2.2551	reptile	Biotechnology	-0.3646	volleyball	1045 mph	-460	-1307 m/(s^2)	Andrew
4	1538 m^2	0.0026	cat	Natural Language Processing	1.8139	badminton	133 mph	-664	2195 m/(s^2)	Fabrice
5	1136 m^2	1.5813	ferret	Biotechnology	None	volleyball	309 mph	1664	-1197 m/(s^2)	Andrew
1	613 m^2	0.9822	rabbit	Computer Game Design	-0.2637	ice hockey	721 mph	-363	607 m/(s^2)	Inan
0	1152 m^2	0.7481	hamster	Applied Mathematics	1.6386	boxing	540 mph	2	649 m/(s^2)	Andrew
7	-255 m^2	-0.1532	guinea pig	Games and Playable Media	2.3035	soccer	-429 mph	-491	857 m/(s^2)	LISE
0	-471 m^2	1.509	hamster	Applied Mathematics	1.4388	motor sports	302 mph	1411	-97 m/(s^2)	Sam
9	-172 m^2	1.3513	rat	Technology and Information Management	0.915	golf	663 mph	1622	-304 m/(s^2)	Michael
2	1394 m^2	-0.8088	ferret	Electrical Engineering	0.3358	basketball	-1043 mph	342	1236 m/(s^2)	ANDREW
1	-87 m^2	0.7165	pig	Computer Game Design	3.4993	baseball	491 mph	-305	2324 m/(s^2)	Inan
1	1386 m^2	1.0695	rabbit	Computer Game Design	2.5667	ice hockey	471 mph	518	1579 m/(s^2)	Inan
5	684 m^2	1.0392	reptile	Biotechnology	-0.7568	VOLLEYBALL	1076 mph	237	-1279 m/(s^2)	Andrew
1	-294 m^2	1.5693	rabbit	Computer Game Design	1.0491	ice hockey	1250 mph	-615	181 m/(s^2)	Inan
4	N/A	-0.5641	guinea pig	Natural Language Processing	-0.6678	badminton	1223 mph	-235	1494 m/(s^2)	Fabrice
7	-379 m^2	1.9523	cat	Games and Playable Media	1.4044	soccer	493 mph	-539	-125 m/(s^2)	Lise
4	1642 m^2	0.6544	guinea pig	Natural Language Processing	0.8002	badminton	276 mph	382	60 m/(s^2)	Fabrice
0	676 m^2	2.4441	hamster	Applied Mathematics	1.9378	boxing	610 mph	123	-904 m/(s^2)	Sam
6	329 m^2	0.4138	fish	Robotics Engineering	1.1305	running	938 mph	3407	94 m/(s^2)	Vani
9	1180 m^2	-0.2684	dog	Technology and Information Management, Computer Engineering	-0.5352	golf	855 mph	909	-76 m/(s^2)	Michael
5	159 m^2	1.554	reptile	Data Science	1.3967	volleyball	317 mph	1186	218 m/(s^2)	Andrew
8	808 m^2	0.4016	pig	Bioinformatics	0.1909	motor sports	2548 mph	385	-51 m/(s^2)	Chris
2	475 m^2	0.1425	rat	Human Computer Interaction, Bioengineering	2.0171	basketball	74 mph	1406	1435 m/(s^2)	Eriq
9	-911 m^2	0.7005	chicken	Computer Engineering, Computer Science	-0.7674	golf	-973 mph	912	194 m/(s^2)	Michael
5	2398 m^2	0.7482	reptile	Biotechnology	-0.4659	volleyball	591 mph	124	-1205 m/(s^2)	Michael
2	419 m^2	-0.0795	rat	Bioengineering, Human Computer Interaction	1.7323	basketball	880 mph	2060	1302 m/(s^2)	Eriq
0	254 m^2	1.1627	hamster	Applied Mathematics	1.817	boxing	722 mph	1502	-2067 m/(s^2)	Sam
3	-429 m^2	-0.1347	cat	Computational Media	-0.9143	track & field	538 mph	-93	1478 m/(s^2)	Vani
0	403 m^2	-0.797	hamster	Technology and Information Management	0.1266	boxing	1531 mph	-654	145 m/(s^2)	Sam
2	1279 m^2	1.5552	rat	Bioengineering, Electrical Engineering	1.1505	basketball	838 mph	-351	-347 m/(s^2)	Eriq
3	218 m^2	-0.6796	bird	cOMPUTATIONAL mEDIA	1.3417	tennis	1348 mph	942	968 m/(s^2)	Reilly
9	-683 m^2	-0.0127	chicken	Technology and Information Management	-0.551	GOLF	588 mph	-711	-553 m/(s^2)	Michael
9	207 m^2	-0.3416	chicken	Computer Engineering, Technology And Information Management	-0.7867	golf	1868 mph	393	-590 m/(s^2)	Michael
7	1067 m^2	0.8894	cat	Games and Playable Media	0.0889	soccer	752 mph	1097	-386 m/(s^2)	Lise
5	1461 m^2	-0.0681	reptile	Data Science	-1.5897	volleyball	450 mph	168	-1010 m/(s^2)	Andrew
8	978 m^2	0.2837	pig	Robotics Engineering	0.4179	motor sports	364 mph	-1013	1046 m/(s^2)	Chris
0	175 m^2	1.153	hamster	Applied Mathematics	0.7616	Boxing	1537 mph	654	121 m/(s^2)	Sam
5	1710 m^2	0.4134	ferret	Biotechnology	0.2189	volleyball	8 mph	-151	-1257 m/(s^2)	Andrew
8	1105 m^2	0.2242	pig	Bioinformatics	-0.0692	badminton	341 mph	-1322	-11 m/(s^2)	Chris
2	1125 m^2	-0.2206	guinea pig	Human Computer Interaction	1.3812	basketball	650 mph	884	800 m/(s^2)	Eriq
2	491 m^2	0.233	rat	Electrical Engineering, Bioengineering	-1.1671	basketball	-18 mph	-965	339 m/(s^2)	Eriq
4	306 m^2	1.3147	pig	Natural Language Processing	0.4952	running	1004 mph	942	191 m/(s^2)	Fabrice
0	632 m^2	0.3891	hamster	applied mathematics	0.4936	boxing	113 mph	478	43 m/(s^2)	Sam
1	617 m^2	0.6003	rabbit	Computer Game Design	1.027	ice hockey	-42 mph	-1286	237 m/(s^2)	Inan
3	2273 m^2	1.6845	bird	Computational Media	0.2501	track & field	86 mph	496	101 m/(s^2)	Reilly
0	495 m^2	1.5676	hamster	Applied Mathematics	1.4779	boxing	1297 mph	495	319 m/(s^2)	Sam
5	1547 m^2	0.566	chicken	Data Science	0.512	volleyball	427 mph	1236	253 m/(s^2)	Andrew
7	125 m^2	1.1489	cat	Games and Playable Media	1.6533	soccer	686 mph	1161	-5 m/(s^2)	Lise
4	1294 m^2	0.1406	guinea pig	Natural Language Processing	1.5879	badminton	255 mph	-1420	1707 m/(s^2)	Fabrice
8	1189 m^2	0.904	pig	Statistics	-0.2343	MOTOR SPORTS	2441 mph	-510	514 m/(s^2)	Chris
1	-633 m^2	-0.013	rabbit	Computer Game Design	0.6501	ice hockey	1716 mph	131	1939 m/(s^2)	Inan
9	-907 m^2	-0.94	chicken	Technology and Information Management	0.48	golf	479 mph	1179	-2589 m/(s^2)	Eriq
3	73 m^2	0.1654	bird	Natural Language Processing	0.5279	track & field	-55 mph	773	730 m/(s^2)	Tony
6	-560 m^2	0.8482	fish	Robotics Engineering	0.1789	football	572 mph	32	-925 m/(s^2)	Vani
6	946 m^2	0.7501	fish	Robotics Engineering	-1.4941	football	-21 mph	110	318 m/(s^2)	vani
2	-309 m^2	-0.6626	rat	Bioengineering, Human Computer Interaction	2.8621	tennis	409 mph	803	756 m/(s^2)	Fabrice
4	1044 m^2	0.5173	guinea pig	Natural Language Processing	0.7344	volleyball	192 mph	1513	-779 m/(s^2)	Fabrice
7	1086 m^2	0.1565	cat	Games and Playable Media	-0.5699	soccer	512 mph	1682	-238 m/(s^2)	Lise
7	63 m^2	1.3066	cat	Games and Playable Media	0.9623	soccer	717 mph	1982	249 m/(s^2)	Lise
0	-26 m^2	0.8119	hamster	Applied Mathematics	-0.3588	n/a	2015 mph	375	368 m/(s^2)	Sam
9	-287 m^2	1.7765	pig	Computer Science, Technology and Information Management	0.6824	golf	1629 mph	-281	190 m/(s^2)	Michael
5	1687 m^2	1.6441	ferret	Biotechnology	1.5423	volleyball	1379 mph	1265	-802 m/(s^2)	Andrew
4	-520 m^2	0.3083	guinea pig	Natural Language Processing	1.5398	badminton	1563 mph	1880	2052 m/(s^2)	Fabrice
3	110 m^2	0.5174	rat	Computer Game Design	-1.5374	badminton	1124 mph	-162	671 m/(s^2)	Reilly
1	1618 m^2	-0.4487	rabbit	Computer Game Design	0.4339	ice hockey	950 mph	-81	496 m/(s^2)	Inan
9	-67 m^2	1.391	dog	Computer Science, Computer Engineering	-1.1272	golf	209 mph	1281	-364 m/(s^2)	Michael
9	-1254 m^2	0.9188	chicken	Computer Engineering, Technology and Information Management	1.0091	golf	1292 mph	1583	245 m/(s^2)	mICHAEL
2	676 m^2	-0.3773	rat	Electrical Engineering, Human Computer Interaction	-0.0773	basketball	570 mph	-38	-413 m/(s^2)	Eriq
7	1675 m^2	-0.0948	cat	Games and Playable Media	1.3402	soccer	411 mph	2586	1784 m/(s^2)	Reilly
0	949 m^2	0.9657	hamster	Applied Mathematics	0.7372	boxing	2014 mph	-760	-1757 m/(s^2)	Sam
4	1064 m^2	1.2168	guinea pig	Natural Language Processing	1.667	badminton	829 mph	-398	-1427 m/(s^2)	Sam
0	-109 m^2	0.6353	rat	Applied Mathematics	0.8185	boxing	1342 mph	340	960 m/(s^2)	Sam
7	819 m^2	3.4273	cat	Games and Playable Media	0.2805	soccer	812 mph	1069	744 m/(s^2)	Lise
8	272 m^2	0.4348	pig	Bioinformatics	1.9753	motor sports	1438 mph	1105	-539 m/(s^2)	Chris
0	1137 m^2	1.3301	hamster	Applied Mathematics	0.6206	boxing	1244 mph	-470	977 m/(s^2)	Sam
7	967 m^2	1.5292	cat	Games and Playable Media	-0.1684	Soccer	585 mph	1015	2083 m/(s^2)	Lise
8	734 m^2	-0.7145	pig	Statistics	-0.2903	motor sports	1323 mph	470	-1381 m/(s^2)	cHRIS
5	904 m^2	0.341	ferret	Biotechnology	-0.4724	volleyball	1102 mph	839	244 m/(s^2)	Andrew
9	-360 m^2	1.9271	dog	Computer Science	-0.9291	golf	1384 mph	274	1188 m/(s^2)	Michael
7	1538 m^2	0.921	cat	Games and Playable Media	0.7815	soccer	1013 mph	213	1528 m/(s^2)	Lise
3	-2284 m^2	0.001	bird	Computational Media	0.0936	track & field	-189 mph	2005	1688 m/(s^2)	Michael
6	422 m^2	1.7577	fish	Robotics Engineering	1.7098	running	1338 mph	697	-1035 m/(s^2)	Chris
6	-102 m^2	0.0904	fish	Robotics Engineering	1.3315	running	1626 mph	972	331 m/(s^2)	Andrew
8	-963 m^2	1.3472	pig	Statistics	-0.55	motor sports	1102 mph	567	-151 m/(s^2)	Chris
1	216 m^2	0.4285	bird	Computer Game Design	-0.0946	baseball	124 mph	-243	500 m/(s^2)	Inan
7	1899 m^2	1.9502	cat	Games and Playable Media	0.7457	soccer	439 mph	-782	1354 m/(s^2)	Lise
3	815 m^2	1.5863	bird	Applied Mathematics	1.4987	track & field	157 mph	475	-535 m/(s^2)	Vani
9	100 m^2	0.4433	chicken	Computer Science	-0.8256	basketball	1382 mph	496	231 m/(s^2)	Michael
6	-94 m^2	0.0152	fish	Robotics Engineering	-0.756	running	836 mph	178	-84 m/(s^2)	Vani
0	-1311 m^2	2.3156	hamster	Applied Mathematics	1.218	boxing	-447 mph	224	-2977 m/(s^2)	Sam
2	555 m^2	1.2268	rat	Electrical Engineering, Human Computer Interaction	1.4631	basketball	673 mph	357	2600 m/(s^2)	Eriq
9	27 m^2	1.3029	chicken	Computer Engineering, Computer Science	0.5078	golf	905 mph	-602	30 m/(s^2)	Michael
5	1835 m^2	1.3804	ferret	Biotechnology	1.4311	volleyball	222 mph	740	-288 m/(s^2)	Andrew
2	777 m^2	0.783	rat	Human Computer Interaction, Electrical Engineering	N/A	basketball	539 mph	409	519 m/(s^2)	Eriq
6	719 m^2	2.4136	fish	Robotics Engineering	0.5281	Running	864 mph	636	-1433 m/(s^2)	Vani
4	577 m^2	0.4203	guinea pig	Natural Language Processing	-0.7389	badminton	1303 mph	-1003	22 m/(s^2)	Fabrice
0	735 m^2	1.4708	hamster	Applied Mathematics	0.1272	boxing	1308 mph	-1031	890 m/(s^2)	Sam
3	-139 m^2	-0.9036	bird	Computational Media	0.2009	track & field	738 mph	1356	-116 m/(s^2)	Reilly
6	482 m^2	-0.4072	fish	Robotics Engineering	-0.1468	motor sports	-570 mph	1250	478 m/(s^2)	Vani
4	1806 m^2	0.813	guinea pig	Natural Language Processing	0.618	boxing	246 mph	434	125 m/(s^2)	fABRICE
7		-0.4785	cat	Games and Playable Media	0.149	soccer	137 mph	1162	-28 m/(s^2)	Lise
7	338 m^2	0.9919	cat	Games and Playable Media	0.9155	soccer	243 mph	-61	453 m/(s^2)	Lise
5	-830 m^2		ferret	Data Science	0.1173	volleyball	639 mph	-361	1103 m/(s^2)	Andrew
2	616 m^2	1.1947	rat	Electrical Engineering	1.2403	basketball	524 mph	228	2149 m/(s^2)	Eriq
8	40 m^2	-0.1414	pig	Bioinformatics	-0.6639	motor sports	1226 mph	704	-162 m/(s^2)	Chris
7	388 m^2	1.0186	CAT	NULL	0.1507	ice hockey	954 mph	888	1944 m/(s^2)	Lise
8	717 m^2	-0.4267	pig	Bioinformatics	-0.5451	motor sports	1051 mph	311	-194 m/(s^2)	Chris
4	1064 m^2	0.3526	guinea pig	Natural Language Processing	-0.1785	boxing	66 mph	2592	84 m/(s^2)	Fabrice
9	968 m^2	0.6413	chicken	Computer Science, Technology and Information Management	0.3211	golf	149 mph	-672	-1609 m/(s^2)	Michael
8	657 m^2	0.4904	pig	Statistics	1.5832	motor sports	15 mph	-60	-340 m/(s^2)	Chris
6	562 m^2	0.0232	pig	Robotics Engineering	1.0539	football	-991 mph	2796	89 m/(s^2)	Vani
5	-587 m^2	0.8548	reptile	Biotechnology	-0.3544	volleyball	995 mph	300	-447 m/(s^2)	Andrew
5	1120 m^2	0.5596	ferret	Data Science	2.2802	volleyball	-66 mph	-1081	1536 m/(s^2)	Andrew
7	1085 m^2	0.0415	cat	Games and Playable Media	2.291	soccer	1034 mph	1176	741 m/(s^2)	Lise
3	-2202 m^2	2.8596	bird	Computational Media	-0.2973	track & field	299 mph	686	1500 m/(s^2)	Tony
2	180 m^2	1.0313	ferret	Human Computer Interaction, Bioengineering	-0.16	basketball	1692 mph	n/a	945 m/(s^2)	Eriq
7	517 m^2	0.1965	cat	Games and Playable Media	0.4966	soccer	370 mph	1446	1029 m/(s^2)	Lise
0	1346 m^2	-0.3993	hamster	Applied Mathematics	2.792	running	432 mph	-27	1209 m/(s^2)	sAM
7	689 m^2	-0.0311	cat	Games and Playable Media	0.3425	soccer	957 mph	93	418 m/(s^2)	Lise
5	1435 m^2	1.7794	reptile	Data Science	1.064	volleyball	736 mph	-378	-919 m/(s^2)	Andrew
6	2007 m^2	0.0036	fish	Robotics Engineering	1.5585	running	1437 mph	487	717 m/(s^2)	Vani
1	596 m^2	0.4918	dog	Computer Game Design	-0.9909	ice hockey	-853 mph	-353	1448 m/(s^2)	Inan
1	1417 m^2	0.4123	rabbit	Computer Game Design	1.4068	BASEBALL	796 mph	2112	1245 m/(s^2)	Inan
0	-1555 m^2	1.2456	hamster	Applied Mathematics	0.4265	boxing	1570 mph	-66	-84 m/(s^2)	Sam
3	51 m^2	1.0972	rat	Computational Media	1.3335	tennis	1258 mph	1466	-258 m/(s^2)	Inan
4	-323 m^2	-0.335	guinea pig	Natural Language Processing	-0.2384	badminton	-232 mph	-882	300 m/(s^2)	Fabrice
1	-72 m^2	-0.155	rabbit	Computer Game Design	2.1782	ice hockey	1252 mph	16	250 m/(s^2)	Inan
0	1178 m^2	0.1081	hamster	aPPLIED mATHEMATICS	1.0882	boxing	719 mph	552	-790 m/(s^2)	Andrew
0	-694 m^2	0.1123	hamster	Applied Mathematics	-0.0482	boxing	1578 mph	384	1161 m/(s^2)	Sam
2	-366 m^2	2.2208	rat	Human Computer Interaction, Electrical Engineering	1.3309	basketball	-490 mph	1083	91 m/(s^2)	Eriq
3	-782 m^2	0.589	bird	Computational Media	0.5374	tennis	1087 mph	238	2519 m/(s^2)	Reilly
1	-504 m^2	0.2729	rabbit	Computer Game Design	0.2687	ice hockey	848 mph	-88	1079 m/(s^2)	iNAN
6	20 m^2	0.2501	fish	ROBOTICS ENGINEERING	2.5418	running	-221 mph	326	-456 m/(s^2)	Vani
1	436 m^2	1.5145	rabbit	Computer Game Design	-1.0613	ice hockey	506 mph	509	1436 m/(s^2)	Inan
